iter	Passed	Remaining
0	3	3106
1	6	3023
2	8	2972
3	11	2943
4	14	2903
5	17	2879
6	20	2860
7	23	2863
8	25	2792
9	28	2789
10	31	2804
11	34	2804
12	36	2787
13	39	2782
14	42	2778
15	45	2773
16	47	2767
17	50	2766
18	53	2749
19	56	2744
20	58	2738
21	61	2733
22	63	2706
23	66	2686
24	68	2678
25	70	2651
26	73	2642
27	75	2637
28	78	2639
29	81	2638
30	84	2637
31	87	2633
32	89	2620
33	92	2618
34	94	2617
35	97	2615
36	100	2612
37	103	2609
38	105	2595
39	109	2620
40	112	2632
41	115	2636
42	118	2644
43	122	2653
44	125	2662
45	128	2671
46	132	2684
47	136	2701
48	139	2700
49	141	2695
50	145	2703
51	148	2706
52	151	2705
53	154	2702
54	156	2692
55	159	2688
56	162	2690
57	164	2678
58	167	2669
59	170	2664
60	172	2662
61	175	2662
62	178	2659
63	181	2656
64	184	2654
65	187	2653
66	190	2652
67	193	2651
68	196	2648
69	199	2646
70	201	2638
71	204	2637
72	207	2635
73	209	2621
74	212	2619
75	215	2617
76	218	2618
77	221	2616
78	224	2615
79	227	2612
80	229	2598
81	232	2597
82	234	2595
83	237	2592
84	240	2586
85	243	2582
86	245	2579
87	248	2574
88	251	2570
89	253	2566
90	256	2565
91	259	2563
92	262	2560
93	265	2556
94	267	2552
95	270	2548
96	273	2548
97	276	2547
98	279	2543
99	281	2533
100	284	2529
101	287	2526
102	289	2523
103	292	2519
104	295	2516
105	297	2512
106	300	2508
107	305	2525
108	309	2527
109	312	2529
110	315	2526
111	318	2526
112	321	2524
113	325	2527
114	328	2527
115	331	2529
116	335	2528
117	339	2534
118	342	2531
119	344	2528
120	347	2525
121	350	2521
122	352	2515
123	355	2512
124	358	2509
125	361	2506
126	364	2502
127	366	2498
128	369	2497
129	372	2494
130	375	2490
131	378	2486
132	380	2483
133	383	2480
134	386	2477
135	389	2473
136	392	2469
137	394	2465
138	397	2462
139	400	2458
140	403	2455
141	405	2450
142	408	2446
143	411	2443
144	413	2441
145	416	2438
146	419	2434
147	422	2431
148	425	2428
149	428	2426
150	431	2424
151	433	2421
152	436	2417
153	438	2409
154	441	2406
155	444	2402
156	446	2399
157	449	2395
158	452	2392
159	454	2388
160	457	2383
161	460	2379
162	462	2374
163	465	2370
164	467	2366
165	470	2362
166	472	2359
167	475	2356
168	478	2352
169	481	2348
170	483	2346
171	486	2343
172	489	2340
173	491	2333
174	494	2330
175	497	2328
176	501	2331
177	504	2331
178	508	2330
179	511	2330
180	514	2329
181	518	2329
182	521	2330
183	525	2328
184	527	2325
185	530	2323
186	533	2320
187	536	2319
188	539	2316
189	542	2313
190	545	2309
191	548	2306
192	551	2307
193	554	2304
194	557	2301
195	560	2297
196	562	2293
197	564	2288
198	567	2282
199	569	2279
200	572	2275
201	575	2272
202	577	2268
203	580	2265
204	583	2262
205	586	2258
206	588	2255
207	591	2251
208	594	2248
209	596	2245
210	599	2240
211	601	2237
212	604	2233
213	607	2229
214	609	2226
215	612	2223
216	615	2220
217	618	2216
218	620	2213
219	623	2210
220	626	2207
221	628	2203
222	631	2200
